rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,cleaned_text,average_sentiment,num_reviews,sentiment_score,user_score,Unnamed: 0,product_average_sentiment,standardized_user_score,sentiment_deviation,trust_score
5,Pretty locket,"I think this locket is really pretty. The inside back is a solid silver depression and the front is a dome that is not solid (knotted). You could use it to store a small photo, lock of hair, etc but I use it when I need to carry medication with me. Closes securely. High quality & very pretty.",[],B00LOPVX74,B00LOPVX74,AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,06:34.5,3,TRUE,think locket really pretty inside back solid silver depression front dome solid knotted could use store small photo lock hair etc use need carry medication close securely high quality pretty,0.572435556,45,0.7645,7.884128889,61296,0.572435556,-0.646924881,0.192064444,0.080505337
5,Great gift for my wife,Was a great gift for my wife. It is a little small for a locket and the chain is little more than a choaker.,[],B00LOPVX74,B00LOPVX74,AGQIISDDHDYLF2PQRZHTUHBEX7EQ,02:44.0,0,TRUE,great gift wife little small locket chain little choaker,0.572435556,45,0.7906,3.936328889,61296,0.572435556,-0.646925119,0.218164444,0.067455218
2,OK.....,"I would have expected it to be in a box verses a cheap plastic pouch, with a paper tag.  Something you would find at Claire's....",[],B00LOPVX74,B00LOPVX74,AEC7FJAL3NZ7GOIGMBJJDBJVZSOQ,09:53.5,0,TRUE,would expected box verse cheap plastic pouch paper tag something would find claire,0.572435556,45,0,0.855128889,61296,0.572435556,-0.646925304,0.572435556,-0.10968043
5,Five Stars,This is a lovely locket.,[],B00LOPVX74,B00LOPVX74,AHWJU4N6VVQTUMQ4IEN53HP7T45A,48:19.0,0,TRUE,lovely locket,0.572435556,45,0.5859,1.526928889,61296,0.572435556,-0.646925263,0.013464444,0.169805146
5,Nice,Lovely look and feel. Not chintzy.,[],B00LOPVX74,B00LOPVX74,AHGVIO3M2IKUXQHNTJ6VNWJ7Z7TQ,48:01.9,0,TRUE,lovely look feel chintzy,0.572435556,45,0.5859,1.526928889,61296,0.572435556,-0.646925263,0.013464444,0.169805146
3,nice but smaller than expected,The locket is very pretty but smaller than what the pictures lead you to believe. I was expecting something bigger.,[],B00LOPVX74,B00LOPVX74,AEETNV5MKZKLM2E2TPV3C2CDNOIA,53:16.0,0,TRUE,locket pretty smaller picture lead believe expecting something bigger,0.572435556,45,0.4939,-0.157071111,61296,0.572435556,-0.646925365,0.078535556,0.13726954
1,Poor quality,"It was a gift for my mothers in law, was cute and meaningful but it got black within a few time wearing it. Poor quality, not real silver.",[],B00LOPVX74,B00LOPVX74,AGRCDC6USZXRODZRMNCNZSSU3CCQ,33:20.2,2,TRUE,gift mother law cute meaningful got black within time wearing poor quality real silver,0.572435556,45,0.6249,1.604928889,61296,0.572435556,-0.646925259,0.052464444,0.150305148
5,Quality,Gorgeous!<br />Can’t wait to give it for a gift!<br />Timeless and elegant!,[],B00LOPVX74,B00LOPVX74,AFV2NFIGIMXVFZBNLGKLXB62UOFQ,07:31.9,0,TRUE,gorgeous br wait give gift br timeless elegant,0.572435556,45,0.875,4.105128889,61296,0.572435556,-0.646925109,0.302564444,0.025255224
5,Very Pleased,"Ordered as a gift. I loved it, and so did the person it was gifted to. Definitely recommend!",[],B00LOPVX74,B00LOPVX74,AEFQKROSDZ4RR3LSAUKUTRRMMGTQ,47:29.0,0,TRUE,ordered gift loved person gifted definitely recommend,0.572435556,45,0.9001,2.155328889,61296,0.572435556,-0.646925226,0.327664444,0.012705165
5,Very nice.....,"Bought as a gift.  It is sterling silver, nice quality and nice size.  I am very satisfied.....",[],B00LOPVX74,B00LOPVX74,AHRTS6CEZYOB3IYAOUTS2WOFKZPQ,38:54.6,0,TRUE,bought gift sterling silver nice quality nice size satisfied,0.572435556,45,0.8834,4.121928889,61296,0.572435556,-0.646925108,0.310964444,0.021055224
